Generation,Fitness
0,3.3646546425296258
1,1.2709247949925597
2,1.2709247949925597
3,0.6619541142381173
4,0.5216686432418669
5,0.4585164341402965
6,0.26207584439946174
7,0.017590447361733652
8,0.015457778338792139
9,0.015457778338792139
10,0.015457778338792139
11,0.002935650235194487
12,0.0010068272192036432
13,0.00012005861429997822
14,7.516313305444555e-05
15,7.516313305444555e-05
16,2.0982712587880314e-05
17,1.0170949284571407e-05
18,8.475194590573665e-08
19,8.475194590573665e-08
20,8.475194590573665e-08
21,5.074910447433467e-08
22,2.4406386245345857e-08
23,5.113076184670717e-09
24,3.9675640550740354e-10
25,1.496758272878651e-11
26,1.496758272878651e-11
27,3.5420555377640994e-12
28,2.149391775674303e-12
29,1.0942358130705543e-12
30,1.1013412404281553e-13
31,4.973799150320701e-14
32,3.552713678800501e-15
33,3.552713678800501e-15
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
